(-21.1066536, -51.4910804)
(-20.8558333, -50.2619444)
(-22.783186, -47.294059)
(-20.9941576, -48.9188283)
(-21.4674564, -49.2235377)
(-20.730877, -47.7522561)
(-22.4396255, -49.9226712)
(-22.9422754, -49.3408082)
(-20.736634, -48.910625)
(-20.6071428, -49.2950997)
(-22.1525442, -50.0935645)
(-20.1819444, -49.3508333)
(-20.720278, -47.886667)
(-23.5324859, -46.7916801)
(-22.314874, -50.281118)
(-21.7962773, -50.879119)
(-22.9777918, -49.868204)
(-21.4892638, -51.7025981)
(-20.0013584, -50.3736414)
(-21.566243, -51.2633114)
(-20.389344, -49.4320384)
(-21.085369, -48.803656)
(-20.4168187, -50.762159)
(-22.786384, -50.2198965)
(-21.3612672, -51.8572739)
(-22.4203497, -50.5792099)
(-23.3864203, -45.6626797)
(-21.015911, -48.776105)
(-23.390161, -48.720868)
(-20.1033995, -50.5858761)
(-21.781309, -50.7922396)
(-23.0806795, -48.3768158)
(-24.7146891, -47.8802361)
(-20.3039424, -50.0135808)
(-20.6383609, -47.2801241)
(-21.3143975, -51.8316259)
(-22.7630391, -47.1532213)
(-22.5730321, -49.3985251)
(-20.029593, -49.3998592)
(-22.351086, -48.778113)
(-22.7950193, -46.4431811)
(-20.249177, -50.1102463)
(-20.25071, -47.4808786)
(-22.741347, -46.894846)
(-22.815725, -50.792359)
(-24.2769071, -47.23393)
(-21.4192406, -50.0765588)
(-20.6378509, -51.1052172)
(-23.0743096, -47.9746014)
(-24.3218105, -46.9977452)
(-21.5901744, -50.5972241)
(-23.7074096, -47.4252319)
(-23.8121684, -47.7201865)
(-22.9340165, -45.462938)
(-21.1853, -48.90861)
(-22.7824349, -46.5901718)
(-21.8856652, -51.7296404)
(-22.6138451, -45.1777096)
(-23.052545, -46.359374)
(-22.72528, -47.64917)
(-23.1897822, -49.3840493)
(-21.9957877, -49.4549675)
(-21.0969076, -48.663862)
(-23.3972146, -47.0025661)
(-22.2738742, -51.4998867)
(-21.9980468, -47.4280861)
(-22.4136363, -49.1351479)
(-21.013203, -48.220951)
(-21.0342886, -49.9286556)
(-22.6328334, -50.2049642)
(-23.5249082, -46.3445663)
(-20.7836955, -49.8149752)
(-22.1088293, -50.1720753)
(-21.7379814, -49.3584449)
(-21.0239714, -48.0393457)
(-20.44071, -50.5235329)
(-20.1833464, -49.7031406)
(-19.9427771, -50.5372875)
(-23.17615, -48.119464)
(-23.2125392, -47.5240065)
(-21.8529134, -47.4794943)
(-22.8377227, -45.2565239)
(-21.0457369, -49.3767154)
(-21.8537103, -51.0862052)
(-21.3597815, -48.0746603)
(-24.005833, -46.402778)
(-22.809027, -48.6656779)
(-22.09991, -49.438133)
(-22.0064609, -51.5542973)
(-21.765074, -52.11114)
(-22.1225167, -51.3882528)
(-21.877116, -51.8451047)
(-21.5404913, -49.8574709)
(-23.299332, -48.054657)
(-22.2470977, -50.7003624)
(-21.7991405, -50.2392786)
(-22.5371881, -44.7752585)
(-22.0705513, -50.308652)
(-23.0152553, -47.5275705)
(-22.2294981, -50.8922333)
(-23.2803652, -45.5345747)
(-22.218131, -51.30545)
(-21.8884118, -49.22273)
(-24.497942, -47.844895)
(-20.605593, -47.483254)
(-24.6577435, -49.0086372)
(-22.0692867, -48.1781765)
(-24.2211495, -48.7678322)
(-20.457872, -47.590394)
(-22.7861813, -49.9285258)
(-21.8378246, -51.602158)
(-24.10114, -48.367931)
(-23.7129388, -46.4150871)
(-21.178333, -47.8066671)
(-20.080256, -47.429109)
(-21.5881095, -48.0724258)
(-21.728308, -50.7226134)
(-22.4100108, -47.5603933)
(-22.8441256, -47.6065667)
(-23.743724, -46.397084)
(-19.980944, -49.6814309)
(-23.8303603, -49.4340558)
(-22.5788641, -53.0552246)
(-22.9008966, -45.3098797)
(-21.2996334, -50.7298698)
(-20.1718325, -50.9995571)
(-21.4598472, -49.5776811)
(-21.8840628, -50.9574608)
(-21.3418263, -49.4999228)
(-20.769612, -47.836873)
(-23.528805, -45.84653)
(-21.625096, -50.8605656)
(-22.8446614, -47.675489)
(-23.1989983, -47.2913682)
(-23.6492626, -47.5729991)
(-22.891426, -49.9851484)
(-22.4560782, -51.7634004)
(-21.2432992, -48.8061481)
(-20.0323485, -50.7278392)
(-22.7542539, -47.4137884)
(-23.3974353, -45.8842294)
